game-relative path                                                     #packs  same-id?  packs
------------------------------------------------------------------------------------------------------------------------
archive/pc/mod/void_Nissan_Skyline_R34_neon.xl                         2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_p00_default.xl                  2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_parcelshelf_speakers.archive    2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_parcelshelf_speakers.xl         2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_rb02.archive                    2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_rc04.archive                    2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_roof_spoiler.archive            2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_roof_spoiler.xl                 2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_rsc03.archive                   2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_rsc03.xl                        2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_sk11.archive                    2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_sp01.archive                    2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_stw02.archive                   2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_tl01.archive                    2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_wh01.archive                    2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_xx_base.archive                 2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
archive/pc/mod/void_Nissan_Skyline_R34_xx_base.xl                      2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 08 Vehicles - void - GAME STRUCTURE
r6/scripts/VehicleManufacturerFix.reds                                 2       IDENTICAL 02 Cars & Vehicles - GAME STRUCTURE, 11 Vehicles - ErenN77 - GAME STRUCTURE
r6/scripts/VirtualCarDealer/Config.reds                                2       DIFFERENT 02 Cars & Vehicles - GAME STRUCTURE, 22 Vehicles - methodd - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/BackstoryManager.reds                2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/BackstoryUI.reds                     2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/BackstoryUIExpanded.reds             2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Barghest/BarghestProfileManager.reds 2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Child/ChildBackstoryGenerator.reds   2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Coherence/CoherenceManager.reds      2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Connections/KdspCommunityPool.reds   2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Connections/KdspConnectionDetector.reds 2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Connections/KdspConnectionTracker.reds 2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Criminal/CriminalRecordManager.reds  2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Criminal/KdspBoloGenerator.reds      2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/CrowdArchetype.reds                  2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/CrowdAssociation.reds                2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/CrowdEntity.reds                     2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/CrowdGender.reds                     2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/CrowdTrait.reds                      2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/CrowdTraits.reds                     2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/CrowdWealth.reds                     2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Cyberware/CyberwareRegistryManager.reds 2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/DatabaseSourceManager.reds           2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/District/CrowdDistrictManager.reds   2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/EthnicityDetector.reds               2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/ExpandedBackstoryManager.reds        2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Financial/FinancialProfileManager.reds 2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/AldecaldosProfile.reds          2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/AnimalsProfile.reds             2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/GangManager.reds                2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/GangNameGenerator.reds          2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/GangProfileGenerator.reds       2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/GangProfileUtils.reds           2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/MaelstromProfile.reds           2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/MoxesProfile.reds               2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/ScavengersProfile.reds          2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/SixthStreetProfile.reds         2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/TygerClawsProfile.reds          2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/ValentinosProfile.reds          2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/VoodooBoysProfile.reds          2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Gang/WraithsProfile.reds             2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/KdspQuestScannerExclusions.reds      2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/LifePath/KdspEventPoolCache.reds     2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/LifePath/LifePath.reds               2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/LifePath/LifePathEvent.reds          2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/LifePath/LifePathEvents.reds         2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/LifePath/LifePathPossibilities.reds  2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Medical/MedicalHistoryManager.reds   2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/NCPD/NCPDNameGenerator.reds          2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/NCPD/NCPDProfileGenerator.reds       2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/NET/NetAliases.reds                  2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/NET/NetProfileGenerator.reds         2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/NameGenerator.reds                   2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Names/AfricanAmericanNames.reds      2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Names/AfricanNames.reds              2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Names/AmericanNames.reds             2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Names/ChineseNames.reds              2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Names/EuropeanNames.reds             2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Names/HaitianNames.reds              2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Names/HispanicNames.reds             2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Names/IndianNames.reds               2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Names/JapaneseNames.reds             2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Names/KoreanNames.reds               2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Names/MiddleEasternNames.reds        2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Names/SlavicNames.reds               2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Names/SoutheastAsianNames.reds       2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Psych/PsychProfileManager.reds       2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
r6/scripts/backgroundScanner/Core/Quirks/PersonalQuirkGenerator.reds   2       IDENTICAL 01 QoL & Fixes - GAME STRUCTURE, 04 Quests & Gigs - GAME STRUCTURE
